message_id,sms_text,sender_type,message_length,contains_url,contains_phone,contains_email,contains_currency,contains_special_chars,language,label
28,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
29,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
30,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
31,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
32,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
33,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
34,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
35,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
36,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
37,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
38,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
39,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
40,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
41,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
42,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
43,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
44,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
45,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
46,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
47,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
48,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
49,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
50,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
51,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
52,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
53,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
54,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
55,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
56,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
57,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
58,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
59,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
60,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
61,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
62,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
63,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
64,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
65,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
66,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
67,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
68,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
69,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
70,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
71,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
72,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
73,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
74,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
75,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
76,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
77,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
78,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
79,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
80,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
81,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
82,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
83,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
84,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
85,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
86,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
87,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
88,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
89,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
90,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
91,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
92,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
93,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
94,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
95,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
96,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
97,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
98,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
99,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
100,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
101,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
102,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
103,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
104,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
105,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
106,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
107,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
108,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
109,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
110,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
111,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
112,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
113,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
114,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
115,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
116,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
117,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
118,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
119,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
120,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
121,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
122,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
123,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
124,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
125,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
126,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
127,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
128,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
129,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
130,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
131,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
132,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
133,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
134,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
135,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
136,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
137,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
138,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
139,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
140,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
141,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
142,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
143,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
144,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
145,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
146,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
147,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
148,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
149,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
150,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
151,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
152,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
153,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
154,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
155,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
156,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
157,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
158,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
159,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
160,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
161,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
162,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
163,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
164,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
165,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
166,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
167,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
168,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
169,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
170,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
171,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
172,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
173,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
174,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
175,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
176,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
177,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
178,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
179,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
180,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
181,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
182,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
183,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
184,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
185,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
186,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
187,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
188,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
189,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
190,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
191,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
192,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
193,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
194,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
195,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
196,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
197,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
198,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
199,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
200,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
201,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
202,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
203,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
204,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
205,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
206,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
207,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
208,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
209,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
210,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
211,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
212,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
213,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
214,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
215,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
216,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
217,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
218,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
219,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
220,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
221,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
222,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
223,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
224,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
225,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
226,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
227,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
228,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
229,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
230,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
231,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
232,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
233,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
234,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
235,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
236,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
237,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
238,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
239,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
240,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
241,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
242,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
243,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
244,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
245,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
246,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
247,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
248,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
249,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
250,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
251,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
252,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
253,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
254,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
255,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
256,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
257,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
258,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
259,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
260,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
261,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
262,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
263,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
264,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
265,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
266,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
267,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
268,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
269,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
270,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
271,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
272,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
273,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
274,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
275,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
276,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
277,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
278,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
279,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
280,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
281,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
282,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
283,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
284,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
285,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
286,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
287,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
288,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
289,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
290,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
291,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
292,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
293,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
294,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
295,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
296,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
297,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
298,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
299,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
300,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
301,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
302,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
303,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
304,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
305,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
306,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
307,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
308,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
309,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
310,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
311,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
312,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
313,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
314,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
315,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
316,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
317,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
318,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
319,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
320,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
321,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
322,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
323,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
324,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
325,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
326,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
327,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
328,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
329,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
330,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
331,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
332,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
333,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
334,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
335,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
336,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
337,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
338,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
339,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
340,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
341,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
342,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
343,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
344,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
345,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
346,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
347,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
348,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
349,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
350,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
351,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
352,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
353,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
354,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
355,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
356,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
357,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
358,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
359,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
360,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
361,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
362,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
363,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
364,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
365,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
366,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
367,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
368,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
369,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
370,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
371,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
372,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
373,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
374,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
375,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
